SIMULATION CONTROL,,,
SKYLOG,SKYLOG data logging on,"SKYLOG ON/OFF,[dt] or LISTVARS or SELECTVARS var1,...,varn","['txt', 'float/txt', '...']"
SNAPLOG,SNAPLOG data logging on,"SNAPLOG ON/OFF,[dt] or LISTVARS or SELECTVARS var1,...,varn","['txt', 'float/txt', '...']"
,,,
MISCELLANEOUS,,,
Command,Description,Usage,Argument types
DIST,Distance and direction calculation between two positions,"DIST lat0, lon0, lat1, lon1","['latlon', 'latlon']"
GETWIND,Get wind at a specified position (and optionally at altitude),"GETWIND lat,lon,[alt]","['latlon', 'alt']"
POS,"Get info on aircraft, airport or waypoint",POS acid/waypoint,['acid/wpt']
,,,
,,,
,,,
Synonyms,Equivalent with,Description,
?,HELP,"Show help on a command, show pdf or write list of commands to file",
ADDAIRWAY,ADDAWY,,
AIRPORT,POS,"Get info on aircraft, airport or waypoint",
AIRWAYS,AIRWAY,Get info on airway or connections of a waypoint,
AWY,POS,"Get info on aircraft, airport or waypoint",
CALL,PCALL,Call commands in another scenario file,
CLOSE,QUIT,Quit program/Stop simulation,
CONTINUE,OP,Start/Run simulation or continue after pause,
CREATE,CRE,Create an aircraft,
DELETE,DEL,"Delete command (aircraft, wind, area)",
DELROUTE,DELRTE,Delete for this a/c the complete route/dest/orig (FMS),
DELWP,DELWPT,Delete a waypoint from a route (FMS),
DIRECTTO,DIRECT,Go direct to specified waypoint in route (FMS),
DIRTO,DIRECT,Go direct to specified waypoint in route (FMS),
DISP,SWRAD,Switch on/off elements and background of map/radar view,
END,QUIT,Quit program/Stop simulation,
EXIT,QUIT,Quit program/Stop simulation,
FWD,FF,Fast forward the simulation,
HEADING,HDG,Heading command (autopilot),
HMETH,RMETHH,Set resolution method to be used horizontally,
HRESOM,RMETHH,Set resolution method to be used horizontally,
HRESOMETH,RMETHH,Set resolution method to be used horizontally,
LOAD,IC,Initial condition: (re)start simulation and open scenario file,
OPEN,IC,Initial condition: (re)start simulation and open scenario file,
PAUSE,HOLD,Pause(hold) simulation,
Q,QUIT,Quit program/Stop simulation,
RESOFACH,RFACH,Set resolution factor horizontal (to add a margin),
RESOFACV,RFACV,Set resolution factor vertical (to add a margin),
RTF,DTMULT,Sel multiplication factor for fast-time simulation,
RUN,OP,Start/Run simulation or continue after pause,
RUNWAYS,POS,"Get info on aircraft, airport or waypoint",
SAVE,SAVEIC,Save current situation as IC,
SPEED,SPD,Speed command (autopilot),
START,OP,Start/Run simulation or continue after pause,
STOP,QUIT,Quit program/Stop simulation,
TRAILS,TRAIL,Toggle aircraft trails on/off,
TURN,HDG,Heading command (autopilot),
VMETH,RMETHV,Set resolution method to be used vertically,
VRESOM,RMETHV,Set resolution method to be used vertically,
VRESOMETH,RMETHV,Set resolution method to be used vertically,
